transaction_id,customer_id,amount,transaction_date
T00001,579,12216,2023-02-11
T00002,10,6313,2023-08-31
T00003,49,14809,2023-03-01
T00004,1511,13588,2023-06-07
T00005,623,13713,2023-07-23
T00006,1345,1916,2023-08-30
T00007,731,1038,2023-09-08
T00008,1593,14464,2023-12-05
T00009,795,1525,2023-05-16
T00010,971,14189,2023-02-16
T00011,1649,1392,2023-11-25
T00012,133,7572,2023-10-06
T00013,1607,5386,2023-07-18
T00014,83,2084,2023-04-05
T00015,57,4456,2023-07-09
T00016,376,10292,2023-07-15
T00017,349,12762,2023-07-09
T00018,271,6155,2023-04-06
T00019,1507,2241,2023-08-17
T00020,111,95909,2023-01-23
T00021,869,9179,2023-05-15
T00022,887,153712,2023-08-14
T00023,76,11532,2023-08-27
T00024,1182,8517,2023-05-15
T00025,1556,3340,2023-04-26
T00026,1957,2669,2023-05-18
T00027,1667,3287,2023-10-16
T00028,329,5040,2023-02-01
T00029,122,13205,2023-03-19
T00030,41,2399,2023-12-23
T00031,1191,9830,2023-12-08
T00032,922,118876,2023-02-19
T00033,642,6619,2023-02-13
T00034,1047,10577,2023-12-09
T00035,279,8019,2023-06-26
T00036,763,10560,2023-10-05
T00037,469,154700,2023-07-31
T00038,1424,6930,2023-10-29
T00039,9,998,2023-04-27
T00040,13,3266,2023-10-11
T00041,924,9348,2023-02-01
T00042,923,179372,2023-07-18
T00043,1843,2489,2023-09-25
T00044,1856,13382,2023-08-03
T00045,1076,1771,2023-10-02
T00046,1233,2796,2023-12-18
T00047,1574,3504,2023-09-01
T00048,1636,11280,2023-10-21
T00049,1729,30969,2023-05-01
T00050,1426,13977,2023-09-01
T00051,1215,99192,2023-06-03
T00052,1075,7916,2023-02-10
T00053,1417,206345,2023-07-22
T00054,653,2040,2023-01-18
T00055,1704,7304,2023-09-15
T00056,1847,1663,2023-10-20
T00057,621,10763,2023-09-22
T00058,1743,2017,2023-10-20
T00059,1963,9669,2023-12-13
T00060,1324,1129,2023-11-14
T00061,1646,10064,2023-03-17
T00062,196,1188,2023-03-03
T00063,417,12145,2023-08-18
T00064,664,12808,2023-03-30
T00065,1444,25014,2023-03-27
T00066,1779,12169,2023-04-19
T00067,1664,9797,2023-04-09
T00068,1641,13302,2023-03-06
T00069,1546,5371,2023-01-22
T00070,1380,13592,2023-08-05
T00071,148,11501,2023-02-10
T00072,1001,6573,2023-12-16
T00073,1389,2827,2023-08-11
T00074,364,5808,2023-04-14
T00075,1995,8123,2023-11-18
T00076,1676,3591,2023-03-17
T00077,1726,8433,2023-11-01
T00078,402,1053,2023-05-13
T00079,606,12830,2023-06-13
T00080,1516,12791,2023-02-04
T00081,229,5315,2023-02-14
T00082,1599,9201,2023-07-18
T00083,1876,13483,2023-10-12
T00084,537,3927,2023-07-23
T00085,268,9317,2023-10-10
T00086,1429,2743,2023-06-16
T00087,1817,11244,2023-05-22
T00088,1035,128235,2023-09-24
T00089,1344,14789,2023-08-23
T00090,1737,11468,2023-01-07
T00091,126,9317,2023-12-25
T00092,306,10977,2023-11-16
T00093,1726,4258,2023-10-28
T00094,1535,30032,2023-09-25
T00095,1113,7126,2023-08-03
T00096,1379,6746,2023-02-27
T00097,628,1823,2023-08-01
T00098,1376,191394,2023-03-18
T00099,689,13757,2023-03-17
T00100,1038,9689,2023-10-18
T00101,1281,1009,2023-10-29
T00102,1233,10813,2023-10-26
T00103,281,134975,2023-02-21
T00104,443,9005,2023-02-24
T00105,1864,1319,2023-10-16
T00106,837,2832,2023-02-21
T00107,389,6947,2023-05-27
T00108,617,14626,2023-10-02
T00109,1507,7109,2023-06-26
T00110,147,6038,2023-07-30
T00111,1303,1080,2023-05-16
T00112,521,1949,2023-07-16
T00113,630,113143,2023-12-02
T00114,1630,10295,2023-09-06
T00115,434,2290,2023-10-20
T00116,144,2403,2023-11-08
T00117,289,12991,2023-08-31
T00118,1410,8962,2023-01-20
